2022-05-20 10:09:18,911 INFO             [background-preinit] org.hibernate.validator.internal.util.Version                                  : HV000001: Hibernate Validator 6.2.3.Final
2022-05-20 10:09:23,321 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "barber_shop" does not exist, skipping
2022-05-20 10:09:23,323 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,323 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "device" does not exist, skipping
2022-05-20 10:09:23,324 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,324 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "faq" does not exist, skipping
2022-05-20 10:09:23,326 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,326 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "favorites" does not exist, skipping
2022-05-20 10:09:23,328 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,328 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "notification" does not exist, skipping
2022-05-20 10:09:23,329 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,330 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "orders" does not exist, skipping
2022-05-20 10:09:23,331 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,331 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "organization" does not exist, skipping
2022-05-20 10:09:23,333 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,334 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "service" does not exist, skipping
2022-05-20 10:09:23,335 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : SQL Warning Code: 0, SQLState: 00000
2022-05-20 10:09:23,336 WARN             [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper$StandardWarningHandler                      : table "uploads" does not exist, skipping
2022-05-20 10:09:23,635 INFO             [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator                  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-20 10:09:23,649 INFO             [main] org.springframework.orm.jpa.AbstractEntityManagerFactoryBean                                 : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-20 10:09:24,869 WARN             [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration      : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-20 10:09:25,535 INFO             [main] org.springframework.security.web.DefaultSecurityFilterChain                                  : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5169db2f, org.springframework.security.web.context.SecurityContextPersistenceFilter@b5bddfe, org.springframework.security.web.header.HeaderWriterFilter@32f45e15, org.springframework.security.web.authentication.logout.LogoutFilter@219a2203, uz.pdp.cutecutapp.config.security.filters.CustomAuthorizationFilter@912a644, uz.pdp.cutecutapp.config.security.filters.CustomAuthenticationFilter@478cc5f1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c86b0ea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@691a5c3a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@245b0bd7, org.springframework.security.web.session.SessionManagementFilter@5ef7ae2f, org.springframework.security.web.access.ExceptionTranslationFilter@4c599679, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@33845e3d]
2022-05-20 10:09:27,183 INFO             [main] org.apache.juli.logging.DirectJDKLog                                                         : Starting ProtocolHandler ["http-nio-8080"]
2022-05-20 10:09:27,238 INFO             [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer                                 : Tomcat started on port(s): 8080 (http) with context path ''
2022-05-20 10:09:27,259 INFO             [main] org.springframework.boot.StartupInfoLogger                                                   : Started CuteCutAppApplication in 8.972 seconds (JVM running for 10.243)
